front,hl,word,meaning,sentence,analogy
"徒","徒","徒","步行。周易贲卦：\""舍车而～。","舍车而徒。","王力《古代汉语》"
"年","年","年","年成，收成。春秋宣公十六年：\""冬，大有～。","冬，大有年。","王力《古代汉语》"
"岁","岁","岁","木星。古人分黄道为十二个星次，大致和西洋的十二宫相当。","星纪","王力《古代汉语》"
"说","说","说","说明，解释。论语八佾：\""成事不～。","若以此说往，杀十人，十重不义，必有十死罪矣。","王力《古代汉语》"
"听","听","听","读tīng，又读tìng。听。","夫子式而听之。","王力《古代汉语》"
"毁","毁","毁","损坏，伤害。论语季氏：\""龟玉～於椟中，是谁之过与？","龟玉毁於椟中，是谁之过与？","王力《古代汉语》"
"誉","誉","誉","誉","从而誉之，谓之义。","王力《古代汉语》"
"劝","劝","劝","劝","惩","王力《古代汉语》"
"居","居","居","坐。论语阳货：\""～，吾语女！\""引申为居住的意思。","居，吾语女！","王力《古代汉语》"
"登","登","登","从低处走上高处。荀子劝学：\""故不～高山，不知天之高也。","故不登高山，不知天之高也。","王力《古代汉语》"
"临","临","临","从高处往低处看。荀子劝学：\""不～深溪，不知地之厚也。","不临深溪，不知地之厚也。","王力《古代汉语》"
"过","过","过","走过，经过。论语微子：\""孔子～之，使子路问津焉。","孔子过之，使子路问津焉。","王力《古代汉语》"
"称","称","称","称量物体的轻重。庄子胠箧：\""为之权衡以～之。","为之权衡以称之。","王力《古代汉语》"
"量","量","量","读liáng。动词，计算物体容积。","为之斗斛以量之。","王力《古代汉语》"
"鬻","鬻","鬻","鬻","今一朝而鬻技百金，请与之。","王力《古代汉语》"
"市","市","市","交易物品的场所，市场。孟子滕文公上：\""从许子之道，则～贾不贰。","从许子之道，则市贾不贰。","王力《古代汉语》"
"假","假","假","借。左传僖公五年：\""晋侯复～道於虞以伐虢。","晋侯复假道於虞以伐虢。","王力《古代汉语》"
"离","离","离","分散，分离。跟\""合\""相对，又跟\""即\""相对。","合","王力《古代汉语》"
"合","合","合","闭，合拢。跟\""开\""相对。","开","王力《古代汉语》"
"因","因","因","动词。依靠，凭藉。","因人之力而敝之，不仁。","王力《古代汉语》"
"改","改","改","改","回也不改其乐。","王力《古代汉语》"
"作","作","作","起来。论语先进：\""舍瑟而～。","舍瑟而作。","王力《古代汉语》"
"为","为","为","做，造作。战国策齐策四：\""王使人～冠。","王使人为冠。","王力《古代汉语》"
"取","取","取","拿，拿来占有。左传僖公三十年：\""若不阙秦，将焉～之？","青取之於蓝，而青於蓝。","王力《古代汉语》"
"求","求","求","找，寻找。孟子梁惠王上：\""犹缘木而～鱼也。","得","王力《古代汉语》"
"奉","奉","奉","两手恭敬地捧着。左传成公二年：\""再拜稽首，～觞加璧以进。","奉命","王力《古代汉语》"
"致","致","致","给与，送给，献出。左传文公六年：\""尽具其帑，与其器用财贿，\...\...送～诸竟。","士见危致命。","王力《古代汉语》"
"得","得","得","获得，得到。跟\""失\""相对。","失","王力《古代汉语》"
"益","益","益","水漫出来，涨。吕氏春秋察今：\""澭水暴～，荆人弗知。","澭水暴益，荆人弗知。","王力《古代汉语》"
"竭","竭","竭","竭","盈","王力《古代汉语》"
"坚","坚","坚","坚","脆","王力《古代汉语》"
"利","利","利","锐利，快。一般指兵器或工具的锐利。","钝","王力《古代汉语》"
"完","完","完","完整，完善，没有损坏。荀子劝学：\""巢非不～也。","巢非不完也。","王力《古代汉语》"
"备","备","备","完备，齐备。论语微子：\""无求～於一人。","无求备於一人。","王力《古代汉语》"
